struct	field	byte_offset	bit_offset	bits	type	meaning	source_of_evidence
TTUTriangleBlockHeader	PX	124	992	5	uint	(compressed) x-delta bit width minus 1	rtcore-driver-struct
TTUTriangleBlockHeader	PY	124	997	5	uint	(compressed) y-delta bit width minus 1	rtcore-driver-struct
TTUTriangleBlockHeader	PZ	125	1002	5	uint	(compressed) z-delta bit width minus 1	rtcore-driver-struct
TTUTriangleBlockHeader	PID	125	1007	5	uint	(compressed) triangleID-delta bit width minus 1	rtcore-driver-struct
TTUTriangleBlockHeader	FNC	126	1009	3	uint	per-triangle force-no-cull (uncompressed: one bit per tri)	rtcore-driver-struct + block-writer
TTUTriangleBlockHeader	M	126	1012	4	uint	triangle count minus 1	rtcore-driver-struct
TTUTriangleBlockHeader	SHIFT	127	1016	5	uint	(compressed) discarded LSB count for delta decode	rtcore-driver-struct
TTUTriangleBlockHeader	ALPHA	127	1018	3	uint	per-triangle alpha bits (uncompressed: one per tri)	rtcore-driver-struct + block-writer
TTUTriangleBlockHeader	MODE	127	1021	3	enum	0=Uncompressed,1=Compressed,2=Motion,3/4=Vis,5=DMM; reserved=>err0x37	rtcore-driver-struct
TTUInstanceNode	USERINSTANCEIDLO	0	0	32	uint	user instance id low	rtcore-driver-struct
TTUInstanceNode	USERINSTANCEIDHI	4	32	32	uint	user instance id high (0 reserved for TLAS hit)	rtcore-driver-struct + validator
TTUInstanceNode	ROOTCOMPLETPTR	8	64	49	uint	pointer to bottom-AS root complet	rtcore-driver-struct
TTUInstanceNode	MASK	14	113	8	uint	per-instance visibility mask	rtcore-driver-struct
TTUInstanceNode	MASKVALID	15	121	1	bool	mask field valid	rtcore-driver-struct
TTUInstanceNode	HEADER	15	122	6	TTUInstanceNodeHeader	flip-front-face/force-no-cull/relptr/alpha flags	rtcore-driver-struct
TTUInstanceNode	MATRIX	16	128	384	FP32x12	3x4 object->world transform	rtcore-driver-struct
TTUInstanceNodeHeader	FORMAT	0	0	1	uint	must be 0; reserved=>err0x35	rtcore-driver-struct
TTUInstanceNodeHeader	FLIPFRONTFACE	0	1	1	bool	flip FrontFaceCW for bottom ray	rtcore-driver-struct
TTUInstanceNodeHeader	FORCENOCULL	0	2	1	bool	force cull mode none for bottom ray	rtcore-driver-struct
TTUInstanceNodeHeader	RELPTR	0	3	1	bool	root-complet ptr relative to instance node	rtcore-driver-struct
TTUReqData_RayOrigin	originX	0	0	32	FP32	ray origin x	rtcore-ttu-interface
TTUReqData_RayOrigin	originY	4	32	32	FP32	ray origin y	rtcore-ttu-interface
TTUReqData_RayOrigin	originZ	8	64	32	FP32	ray origin z	rtcore-ttu-interface
TTUReqData_RayOrigin	tmin	12	96	32	FP32	ray tmin	rtcore-ttu-interface
TTUReqData_RayDirection	directionX	0	0	32	FP32	ray direction x	rtcore-ttu-interface
TTUReqData_RayDirection	directionY	4	32	32	FP32	ray direction y	rtcore-ttu-interface
TTUReqData_RayDirection	directionZ	8	64	32	FP32	ray direction z	rtcore-ttu-interface
TTUReqData_RayDirection	tmax	12	96	32	FP32	ray tmax	rtcore-ttu-interface
TTUReqData_RayFlags	type	0	0	3	enum	0=Ray,3=Box,4-6=Beam,7=instancing	rtcore-ttu-interface
TTUReqData_RayFlags	cullMode	0	4	2	enum	0=none,1=cullback,2=cullfront,3=disable-edge-test	rtcore-ttu-interface
TTUReqData_RayFlags	frontFaceCW	0	6	1	bool	0=front=CCW,1=front=CW	rtcore-ttu-interface
TTUReqData_RayFlags	terminateOnHit	0	7	1	bool	terminate on any hit	rtcore-ttu-interface
TTUReqData_RayFlags	rayOp	2	16	4	enum	ray-op predicate (0=Always..15=FltTmaxGEqual)	rtcore-ttu-interface
TTUReqData_RayFlags	traversalOrder	2	21	3	enum	0=sort-by-tmin,1=tree-order,2-7=axis-sort	rtcore-ttu-interface
TTUReqData_RayFlags	instMask	3	24	8	uint	ray instance mask	rtcore-ttu-interface
TTUResData_Hit_Triangle	userTriangleID	0	0	32	uint	hit triangle user id	rtcore-ttu-interface
TTUResData_Hit_Triangle	T	4	32	31	FP32	ray parameter t (31b nonneg; 32b signed if disable-edge-test)	rtcore-ttu-interface
TTUResData_Hit_Triangle	ALPHA	7	63	1	bool	0=opaque,1=alpha	rtcore-ttu-interface
TTUResData_Hit_Triangle	U	8	64	31	FP32	barycentric u	rtcore-ttu-interface
TTUResData_Hit_Triangle	BACKFACING	11	95	1	bool	0=front,1=back	rtcore-ttu-interface
TTUResData_Hit_Triangle	V	12	96	31	FP32	barycentric v	rtcore-ttu-interface
TTUResData_Hit	TYPE	15	124	4	enum	0=Triangle,8=NodeRef,9=TriRange,A=ItemRange,B=Instance,C=TermUnknown,E=Error,F=None	rtcore-ttu-interface
TTUNodeRef	CPLPTR	0	0	49	uint	complet pointer (root address for stack init)	rtcore-ttu-interface
TTUNodeRef	CPLCHILD	7	56	4	uint	child to resume after (ignored if enterRoot)	rtcore-ttu-interface
TTUNodeRef	ENTERROOT	7	60	1	bool	1=start traversal at complet root	rtcore-ttu-interface
ttuAddr_slot	RayFlags	0x000	-	128	write	TTU internal slot for ray flags	rtcore-ttu-reqaddr-enum
ttuAddr_slot	RayOrigin	0x040	-	128	write	TTU internal slot for ray origin+tmin	rtcore-ttu-reqaddr-enum
ttuAddr_slot	RayDirection	0x050	-	128	write	TTU internal slot for ray direction+tmax	rtcore-ttu-reqaddr-enum
ttuAddr_slot	StackInitComplet	0x200	-	128	write	root NodeRef written here to seed traversal	rtcore-ttu-reqaddr-enum
ttuAddr_slot	StackInitTriRange	0x210	-	128	write	seed traversal from a tri range	rtcore-ttu-reqaddr-enum
ttuAddr_slot	Hit	0x300	-	128	read	the hit/result record	rtcore-ttu-reqaddr-enum
ttuAddr_slot	HitInstance	0x320	-	128	read	hit instance id + pointer	rtcore-ttu-reqaddr-enum
ttuAddr_slot	TriFetch0	0x340	-	128	read	hit triangle vertices part 0	rtcore-ttu-reqaddr-enum
ttuAddr_slot	Stack01	0x380	-	128	read	traversal stack entries 0,1 (spill/restore)	rtcore-ttu-reqaddr-enum
AS_layout	root_complet	0	-	1024	TTUComplet	complet index 0 = root (PARENTLEAFIDX=0xF), at nodesBase	rtcore-driver-validator
AS_layout	complet_array	nodesBase	-	-	TTUComplet[numNodes]	contiguous 128-B complets	rtcore-driver-validator
AS_layout	triblock_array	trianglesBase	-	-	TTUTriangleBlock[numTriBlocks]	contiguous 128-B triangle blocks	rtcore-driver-validator
AS_layout	complet_align	-	-	-	const	complet buffer 128-B aligned (else fault)	rtcore-driver-validator
AS_layout	triblock_align	-	-	-	const	triangle-block buffer 128-B aligned (else fault)	rtcore-driver-validator
AS_layout	addr_mask	-	-	49	const	complet/leaf/instance pointers are 49-bit	rtcore-driver-struct
