# ptxas pseudo-instruction macro-builtin catalog (CUDA 13.0.88)
# Registrar: sub_5D4190. 588 entries = 115 NAMED (human-named pseudo-ops, dict a1+808)
#   + 473 NUMERIC (key = adler32(__cuda_* macro name), dict a1+816).
# expansion_summary recovered from the decoded PTX macro pool
#   (decoded/ptxas-ptx-macro-pool/ptxas_ptx_macro_pool.decoded.bin): each numeric
#   template uses registers prefixed __ptxMacroFuncsFermi_<name>_ with a __skip_<name>: end label;
#   named templates are anchored by a $..._cuda_<op>_DONE label. arch=(code) for NAMED ops
#   whose entry-point lowering lives in the handler fn (expansion still pool-templated by op name).
# columns: kind  key(dec)  hex  handler_fn  cuda_name  family  arch  expansion_summary
kind	key	hex	handler_fn	cuda_name	family	arch	expansion_summary
NAMED			sub_578470	bfe	bit/int	(code)	bit-field-extract passthrough (b32); b64 via helper
NAMED			sub_52E100	bfi	bit/int	(code)	bit-field-insert passthrough (b32); b64 via __cuda_sm20_bfi_u64 helper
NAMED			sub_4DBCC0	clz	bit/int	(code)	count-leading-zeros; b64 picks hi/lo word +32 then clz.b32
NAMED			sub_4DB210	popc	bit/int	(code)	population-count; b64 = popc.b32(lo)+popc.b32(hi)
NAMED			sub_581A10	testp	bit/int	(code)	f32/f64 predicate test (sign/finite/...); split to {lo,hi}, mask exp/sign bits, setp
NAMED			sub_50B180	copysign	bit/int	(code)	lop3.b32(...,0x80000000,...,0xB8): (mag & ~signbit) | (sign & signbit)
NAMED			sub_4DD860	_ldldu	tex/surface	(code)	load-uniform: ldu.global (non-coherent uniform load) when addr warp-uniform, else ld
NAMED			sub_584D10	tex	tex/surface	(code)	texture fetch passthrough tex.<geom>.<type>; v4.f16 packs 4 results into f16x2 regs
NAMED			sub_5879B0	tex.base	tex/surface	(code)	tex base (implicit LOD0) passthrough
NAMED			sub_58B6A0	tex.level	tex/surface	(code)	tex.level (explicit LOD) passthrough
NAMED			sub_56D700	tld4	tex/surface	(code)	tld4 4-texel gather with RGBA component selector, 2D/3D coords
NAMED			sub_5ADDC0	tex.grad	tex/surface	(code)	tex.grad: pack coords+dPdx/dPdy gradient vectors into .param buffers, call form
NAMED			sub_59C7E0	vadd	video(v*)	(code)	1-way SIMD video emul: scalar add + optional prmt.b32 byte/hw merge + saturation
NAMED			sub_59B1D0	vsub	video(v*)	(code)	1-way SIMD video emul (sub) via prmt-merge + sat
NAMED			sub_598630	vmin	video(v*)	(code)	1-way SIMD video emul (min) via prmt-merge + sat
NAMED			sub_599BF0	vmax	video(v*)	(code)	1-way SIMD video emul (max) via prmt-merge + sat
NAMED			sub_59DDF0	vabsdiff	video(v*)	(code)	1-way SIMD video emul (|a-b|) via prmt-merge + sat
NAMED			sub_5945E0	vshl	video(v*)	(code)	1-way SIMD video emul (shift-left) via prmt-merge
NAMED			sub_595A80	vshr	video(v*)	(code)	1-way SIMD video emul (shift-right) via prmt-merge
NAMED			sub_591F00	vset	video(v*)	(code)	1-way SIMD video emul (compare->bool) via prmt-merge
NAMED			sub_596F30	vmad	video(v*)	(code)	1-way SIMD video emul multiply-add (multi-operand)
NAMED			sub_575950	vadd2	video(v*)	(code)	2-way halfword SIMD emul: prmt unpack, cvt extend, per-lane add, prmt repack
NAMED			sub_57EB70	vmax2	video(v*)	(code)	2-way halfword SIMD emul (max) via prmt unpack/repack
NAMED			sub_57E030	vmin2	video(v*)	(code)	2-way halfword SIMD emul (min) via prmt unpack/repack
NAMED			sub_550260	vabsdiff2	video(v*)	(code)	2-way halfword SIMD emul (|a-b|) via prmt unpack/repack
NAMED			sub_52DB20	vset2	video(v*)	(code)	2-way halfword SIMD emul (compare) via prmt unpack/repack
NAMED			sub_5761F0	vsub2	video(v*)	(code)	2-way halfword SIMD emul (sub) via prmt unpack/repack
NAMED			sub_579760	vavrg2	video(v*)	(code)	2-way halfword SIMD emul (average) via prmt unpack/repack
NAMED			sub_586B10	vadd4	video(v*)	(code)	4-way byte SIMD emul: prmt(0x765x) unpack, cvt.s32.s8, per-lane add, repack
NAMED			sub_573040	vmin4	video(v*)	(code)	4-way byte SIMD emul (min) via prmt byte unpack/repack
NAMED			sub_5717E0	vmax4	video(v*)	(code)	4-way byte SIMD emul (max) via prmt byte unpack/repack
NAMED			sub_572800	vabsdiff4	video(v*)	(code)	4-way byte SIMD emul (|a-b|); mask 0x7f7f7f7f, dp4a w/0x01010101 to sum lanes
NAMED			sub_56DED0	vset4	video(v*)	(code)	4-way byte SIMD emul (compare) via prmt byte unpack/repack
NAMED			sub_585CA0	vsub4	video(v*)	(code)	4-way byte SIMD emul (sub) via prmt byte unpack/repack
NAMED			sub_57AAE0	vavrg4	video(v*)	(code)	4-way byte SIMD emul (average); 0x80808080 trick, dp4a lane-sum
NAMED			sub_56BA60	dp2a.lo	dp2a/dp4a	(code)	emits dp2a (16-bit-pair x 8-bit dot-product, low half)
NAMED			sub_56C8D0	dp2a.hi	dp2a/dp4a	(code)	emits dp2a (high half)
NAMED			sub_577BA0	dp4a	dp2a/dp4a	(code)	emits dp4a.u32.u32 (4x8-bit dot-product accumulate)
NAMED			sub_56A5A0	bar.warp	barrier/bar	(code)	bar.warp.sync mask (aligned); unaligned: _warpsync+match.all+bra.conv convergence
NAMED			sub_567680	redux	redux	(code)	redux.sync.{add,min,max,and,or,xor}.{u32,s32} (aligned); unaligned calls __cuda_reduxsync
NAMED			sub_570290	barrier	barrier/bar	(code)	barrier.sync bar{,count} (modern named-barrier; .aligned fast path)
NAMED			sub_524FB0	bar	barrier/bar	(code)	legacy bar.sync bar{,count}; emits barrier.sync.aligned fast path
NAMED			sub_570940	barrier.arrive	barrier/bar	(code)	barrier.arrive bar{,count} (split-barrier producer half)
NAMED			sub_500BF0	bar.arrive	barrier/bar	(code)	legacy bar.arrive
NAMED			sub_5889B0	barrier.red	barrier/bar	(code)	barrier.red.{popc,and,or} bar,{count,}pred (across-thread reduction at barrier)
NAMED			sub_52D590	bar.red	barrier/bar	(code)	legacy bar.red.{popc,and,or}
NAMED			sub_4DAB60	barrier.cta	barrier/bar	(code)	CTA-scoped barrier.sync
NAMED			sub_4DA880	bar.cta	barrier/bar	(code)	legacy CTA-scoped bar.sync
NAMED			sub_4DAD00	barrier.cta.arrive	barrier/bar	(code)	CTA-scoped barrier.arrive
NAMED			sub_4DA9F0	bar.cta.arrive	barrier/bar	(code)	legacy CTA-scoped bar.arrive
NAMED			sub_4DBA60	barrier.cta.red	barrier/bar	(code)	CTA-scoped barrier.red
NAMED			sub_4DB600	bar.cta.red	barrier/bar	(code)	legacy CTA-scoped bar.red
NAMED			sub_580E50	vote	vote/shfl/match	(code)	vote.sync.{all,any,uni,ballot}.b32 (aligned); intersects with groupwise activemask
NAMED			sub_5801D0	shfl	vote/shfl/match	(code)	shfl.sync.{up,down,bfly,idx}.b32 dst|p,val,lane,c,mask; legacy shfl.* fallback
NAMED			sub_58A730	match	vote/shfl/match	(code)	match.sync.{all,any}.b32/.b64; .all returns (dst,pred) via _p helper
NAMED			sub_4DC180	cp.async.mbarrier.arrive	cp.async/bulk	(code)	cvta.to.shared then cp.async.mbarrier.arrive[.noinc].shared.b64 [ptr]
NAMED			sub_593210	cp.async.bulk	cp.async/bulk	(code)	param-pack dst/src/mbar/size; unicast vs cluster-multicast dispatch; cp.async.bulk.shared::cta.global
NAMED			sub_5AB460	cp.async.bulk.tensor	cp.async/bulk	(code)	param-pack + tensormap + 1-5D coords; cp.async.bulk.tensor.shared::cta.global [tmap,coords],mbar
NAMED			sub_50D4B0	ldmatrix	wmma/mma	(code)	cvta.to.shared, then ldmatrix.sync.aligned (_ldsm) .x1/x2/x4[.trans].m8n8.b16
NAMED			sub_4DAEA0	movmatrix	wmma/mma	(code)	_warpsync then movmatrix.trans.m8n8.b16 (in-register transpose)
NAMED			sub_58E9B0	st.async	cp.async/bulk	(code)	cvta.to.shared then st.async[.weak][.mbarrier::complete_tx].shared::cluster [dsmem],val,[dsmbar]
NAMED			sub_5825A0	red.async	cp.async/bulk	(code)	red.async.<op>.shared::cluster [dsmem],val,[dsmbar]; global form via ocg builtin
NAMED			sub_4F05D0	stmatrix	wmma/mma	(code)	cvta.to.shared then stmatrix.sync.aligned.shared [smem],src
NAMED			sub_549430	st.bulk	cp.async/bulk	(code)	cvta.to.shared, numBlocks=numBytes>>3, call __nv_ptx_builtin_ocg_memclear (bulk-zero)
NAMED			sub_57D530	createpolicy.range	createpolicy	(code)	window math (blockSizeBits=max(ceil(log2(size))-7,12)), createpolicy.range.b64; sw _encode base 0x18..
NAMED			sub_577300	createpolicy.fractional	createpolicy	(code)	numerator=floor(frac*15.99)&0xF; createpolicy.fractional.b64 dst,n,256; sw _encode base 0x10..
NAMED			sub_4DB840	createpolicy.cvt	createpolicy	(code)	createpolicy.cvt.L2.b64 dst,src (convert access-property -> policy descriptor)
NAMED			sub_507FB0	prefetch	cp.async/bulk	(code)	prefetch.tensormap [ptr] or prefetch.{global,local}.{L1,L2}[.L2::evict_*]
NAMED			sub_5A2D10	wmma.load.a	wmma/mma	(code)	call load_a*_update_ptr then ld.v4.b32/.v2.b32 vectorized fragment gather
NAMED			sub_5A0EA0	wmma.load.b	wmma/mma	(code)	call load_b*_update_ptr then ld.v4.b32/.v2.b32 vectorized fragment gather
NAMED			sub_5A8E40	wmma.load.c	wmma/mma	(code)	f16 acc gather: ld.b16 pairs, mov.b32 {x,y} pack into C fragment regs
NAMED			sub_5A6BD0	wmma.store.d	wmma/mma	(code)	inverse of load.c: mov.b32 {x,y} unpack, st.b16 scatter strided by ldm
NAMED			sub_5C10A0	mma	wmma/mma	(code)	lowest-level MMA emitter: _mma %s.row.col[.block_scale] d,a,b,c (printf-style shape/type slots)
NAMED			sub_5C7A50	wmma.mma	wmma/mma	(code)	mma.sync.aligned.m8n8k4[.layout].f32.f16.f16.{f32|f16} (sm70 tensor-core); may call downconvert/swizzle
NAMED			sub_50AC70	wgmma.mma_async	wgmma	(code)	mma.warpgroup[.sp].thread.ignoreC_pred (sm90 Hopper async warpgroup MMA)
NAMED			sub_4DA380	wgmma.fence	wgmma	(code)	warpgroup.arrive (sm90)
NAMED			sub_4DA4B0	wgmma.commit_group	wgmma	(code)	warpgroup.commit_batch (sm90)
NAMED			sub_4DA5E0	wgmma.wait_group	wgmma	(code)	warpgroup.wait <N> (sm90)
NAMED			sub_505B00	tanh	math	(code)	split b32 to 2x f16, tanh.approx.f16 each half, repack
NAMED			sub_58D8B0	multimem.ld_reduce	multimem	(code)	multimem.ld_reduce.{f16x2,bf16x2,e5m2x4,e4m3x4,v2,v4} into accumulators (sm10x)
NAMED			sub_57B4C0	multimem.st	multimem	(code)	pack operands then multimem st.{b32,b16,b8,v2,v4} (sm10x)
NAMED			sub_50A850	multimem.red	multimem	(code)	compute global ptr then red.global.<op>[.noftz] [ptr],val (sm10x)
NAMED			sub_569180	tcgen05.alloc	tcgen05	(code)	guardrails(phase,bounds,granularity); cvta TMEM; call alloc_one_sm/two_sm (sm10x Blackwell)
NAMED			sub_526370	tcgen05.relinquish_alloc_permit	tcgen05	(code)	elect.sync leader, ocg_virtcount(128), st.shared.u8 phase=1
NAMED			sub_58C7F0	tcgen05.dealloc	tcgen05	(code)	guardrail bounds; rebuild col bitmask; verify==allocated (else trap); clear mask/startbit SMEM
NAMED			sub_574050	tcgen05.ld	tcgen05	(code)	guardrails(bounds,cols,owner=0); call ocg_ldtm into .param array
NAMED			sub_578DB0	tcgen05.ld.red	tcgen05	(code)	guardrails like ld; call ocg_ldtm_stat (reduction-with-status variant)
NAMED			sub_571FE0	tcgen05.st	tcgen05	(code)	guardrails(bounds,cols,owner=1); call ocg_sttm (.noreturn)
NAMED			sub_56C190	tcgen05.commit	tcgen05	(code)	cvta mbar to shared; call ocg_tcbar(mbar[,cta-mask])
NAMED			sub_5427F0	tcgen05.cp	tcgen05	(code)	guardrails(bounds,cols); build taddr+64b sdesc; call ocg_tccp(taddr,sdesc)
NAMED			sub_4F1A90	tcgen05.shift	tcgen05	(code)	guardrails(bounds,cols); call ocg_tcshift(taddr)
NAMED			sub_5BBC30	tcgen05.mma	tcgen05	(code)	per-operand triple guardrail (bounds/cols/datapath); build idesc+upp pred; call ocg_tcmma_tmem/gdesc
NAMED			sub_58FA20	tcgen05.mma.ws	tcgen05	(code)	like mma but datapath flag=1 (weight-stationary); adds uri0/uri1 routing pair; ocg_tcmma_*_ws
NAMED			sub_4DA720	_tcgen05.guardrails.is_phase_valid	tcgen05	(code)	load phase byte (+28), require==0, else trap_phase_invalid_during_alloc
NAMED			sub_4DDE70	_tcgen05.guardrails.are_columns_allocated	tcgen05	(code)	build access mask, require (used&allocated)==used, else trap_unallocated_columns_access
NAMED			sub_4DBF20	_tcgen05.guardrails.is_current_warp_valid_owner	tcgen05	(code)	warp_rank&3 subpartition == (addr&0x600000)>>21, else trap_current_warp_owner_invalid
NAMED			sub_4DE180	_tcgen05.guardrails.in_physical_bounds	tcgen05	(code)	require start_col & end_col in [0,512) (TMEM 512 cols), else trap_access_out_of_physical_bounds
NAMED			sub_4DB050	_tcgen05.guardrails.allocation_granularity	tcgen05	(code)	popc(num_cols)==1 (power of two), else trap_allocation_granularity_invalid
NAMED			sub_4F0960	_tcgen05.guardrails.datapath_alignment	tcgen05	(code)	decode M from idesc, validate dpAddr alignment vs cta_group/sparsity, else trap
NAMED			sub_4DD580	_tcgen05.guardrails.sp_consistency_across_idesc_mod	tcgen05	(code)	inline guardrail: sparsity flag consistent across idesc modifications
NAMED			sub_500FA0	_tcgen05.guardrails.check_sparse_usage	tcgen05	(code)	inline guardrail: validate sparse-operand usage vs configured sparsity
NUM	2644314910	0x9D9D0B1E	sub_4DDB80	__cuda_sm70_query_activemask	vote/ballot	sm70	activemask.b32 (warp-wide active-lane mask)
NUM	605425506	0x24160F62	sub_4DE4A0	__cuda_sm70_query_activemask_groupwise	vote/ballot	sm70	activemask.b32 AND member mask (groupwise active lanes)
NUM	359337725	0x156B0EFD	sub_518FE0	__cuda_sm70_votesync_ballot_groupwise	vote/ballot	sm70	vote.sync.ballot.b32 then AND group activemask
NUM	4134604268	0xF6710DEC	sub_4F1700	__cuda_sm70_votesync_aligned_ballot	vote/ballot	sm70	vote.sync.ballot.b32 then AND group activemask
NUM	3457617063	0xCE170CA7	sub_502EC0	__cuda_sm70_votesync_aligned_all	vote/ballot	sm70	ballot then setp.eq(ballot,activemask) -> all-in-group
NUM	3458731190	0xCE280CB6	sub_4FF520	__cuda_sm70_votesync_aligned_any	vote/ballot	sm70	ballot then setp.ne(ballot,0) -> any-in-group
NUM	3461614778	0xCE540CBA	sub_5083B0	__cuda_sm70_votesync_aligned_uni	vote/ballot	sm70	(ballot==0)||(ballot==activemask) via setp+or.pred
NUM	273026588	0x10460E1C	sub_4F1020	__cuda_sm70_matchsync_aligned_all_b32	match	sm70	match.sync.any.b32 & activemask, set.eq test entire-group-matched
NUM	273550881	0x104E0E21	sub_4F1390	__cuda_sm70_matchsync_aligned_all_b64	match	sm70	match.sync.any.b64 & activemask, set.eq test entire-group-matched
NUM	766250731	0x2DAC0EEB	sub_5032A0	__cuda_sm70_matchsync_aligned_all_b32_p	match	sm70	match.sync.any.b32 & activemask, set.eq test entire-group-matched +output pred
NUM	767430384	0x2DBE0EF0	sub_503690	__cuda_sm70_matchsync_aligned_all_b64_p	match	sm70	match.sync.any.b64 & activemask, set.eq test entire-group-matched +output pred
NUM	278072875	0x10930E2B	sub_4DE7D0	__cuda_sm70_matchsync_aligned_any_b32	match	sm70	match.sync.any.b32 & member mask
NUM	278597168	0x109B0E30	sub_4DEB10	__cuda_sm70_matchsync_aligned_any_b64	match	sm70	match.sync.any.b64 & member mask
NUM	3013151698	0xB3990BD2	sub_56ED00	__cuda_sm80_createpolicy_range	createpolicy	sm80	L2 access-policy: window math + createpolicy.range.b64 (or sw-encode descriptor base 0x18..)
NUM	1034227483	0x3DA50F1B	sub_511BF0	__cuda_sm8x_tf32_wmma_m16n16k8_load_a_row	wmma-tf32	sm8x	load_a: laneid->elem gather, ld.generic.b32 series (tf32(b32)); store_d/load call *_update_ptr for base
NUM	2998735345	0xB2BD11F1	sub_512060	__cuda_sm8x_tf32_wmma_m16n16k8_load_a_row_shared	wmma-tf32	sm8x	load_a: laneid->elem gather, ld.shared.b32 series (tf32(b32)); store_d/load call *_update_ptr for base
NUM	2995851755	0xB29111EB	sub_5124D0	__cuda_sm8x_tf32_wmma_m16n16k8_load_a_row_global	wmma-tf32	sm8x	load_a: laneid->elem gather, ld.global.b32 series (tf32(b32)); store_d/load call *_update_ptr for base
NUM	1030557441	0x3D6D0F01	sub_50FCE0	__cuda_sm8x_tf32_wmma_m16n16k8_load_a_col	wmma-tf32	sm8x	load_a: laneid->elem gather, ld.generic.b32 series (tf32(b32)); store_d/load call *_update_ptr for base
NUM	2983137751	0xB1CF11D7	sub_510150	__cuda_sm8x_tf32_wmma_m16n16k8_load_a_col_shared	wmma-tf32	sm8x	load_a: laneid->elem gather, ld.shared.b32 series (tf32(b32)); store_d/load call *_update_ptr for base
NUM	2980254161	0xB1A311D1	sub_510A30	__cuda_sm8x_tf32_wmma_m16n16k8_load_a_col_global	wmma-tf32	sm8x	load_a: laneid->elem gather, ld.global.b32 series (tf32(b32)); store_d/load call *_update_ptr for base
NUM	4210694260	0xFAFA1874	sub_4DF810	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row_shared_update_ptr	wmma-subbyte	sm7x	address-gen only: laneid->element offset math, returns advanced shared ptr (no ld/st)
NUM	4203485294	0xFA8C186E	sub_4DFB50	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row_global_update_ptr	wmma-subbyte	sm7x	address-gen only: laneid->element offset math, returns advanced global ptr (no ld/st)
NUM	1497109918	0x593C159E	sub_4DFE90	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row_update_ptr	wmma-subbyte	sm7x	address-gen only: laneid->element offset math, returns advanced generic ptr (no ld/st)
NUM	2394822284	0x8EBE168C	sub_4E01D0	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row_shared_update_ptr	wmma-bit1b	sm7x	address-gen only: laneid->element offset math, returns advanced shared ptr (no ld/st)
NUM	2387613318	0x8E501686	sub_4E0510	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row_global_update_ptr	wmma-bit1b	sm7x	address-gen only: laneid->element offset math, returns advanced global ptr (no ld/st)
NUM	4199093174	0xFA4913B6	sub_4E0850	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row_update_ptr	wmma-bit1b	sm7x	address-gen only: laneid->element offset math, returns advanced generic ptr (no ld/st)
NUM	88478685	0x054613DD	sub_4E0B90	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row_shared	wmma-subbyte	sm7x	load_a: laneid->elem gather, ld.shared.b32 series (4-bit packed); store_d/load call *_update_ptr for base
NUM	85595095	0x051A13D7	sub_4E0ED0	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row_global	wmma-subbyte	sm7x	load_a: laneid->elem gather, ld.global.b32 series (4-bit packed); store_d/load call *_update_ptr for base
NUM	1848645077	0x6E3015D5	sub_4FAF20	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row_global_desc	wmma-subbyte	sm7x	load_a: laneid->elem gather, ld.global.b32 series (4-bit packed); store_d/load call *_update_ptr for base
NUM	2192249095	0x82AB1107	sub_4E1210	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row	wmma-subbyte	sm7x	load_a: laneid->elem gather, ld.generic.b32 series (4-bit packed); store_d/load call *_update_ptr for base
NUM	3719369477	0xDDB11305	sub_4FAB80	__cuda_sm7x_sub_byte_wmma_m8n8k32_load_a_row_desc	wmma-subbyte	sm7x	load_a: laneid->elem gather, ld.desc.b32 series (4-bit packed); store_d/load call *_update_ptr for base
NUM	2918388213	0xADF311F5	sub_4E1550	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row_shared	wmma-bit1b	sm7x	load_a: laneid->elem gather, ld.shared.b32 series (1-bit packed); store_d/load call *_update_ptr for base
NUM	2915504623	0xADC711EF	sub_4E1890	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row_global	wmma-bit1b	sm7x	load_a: laneid->elem gather, ld.global.b32 series (1-bit packed); store_d/load call *_update_ptr for base
NUM	224662509	0x0D6413ED	sub_4FA440	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row_global_desc	wmma-bit1b	sm7x	load_a: laneid->elem gather, ld.global.b32 series (1-bit packed); store_d/load call *_update_ptr for base
NUM	952045343	0x38BF0F1F	sub_4E1BD0	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row	wmma-bit1b	sm7x	load_a: laneid->elem gather, ld.generic.b32 series (1-bit packed); store_d/load call *_update_ptr for base
NUM	2319257885	0x8A3D111D	sub_4FA7E0	__cuda_sm7x_bit_wmma_m8n8k128_load_a_row_desc	wmma-bit1b	sm7x	load_a: laneid->elem gather, ld.desc.b32 series (1-bit packed); store_d/load call *_update_ptr for base
NUM	1094325528	0x413A1518	sub_502AD0	__cuda_sm7x_wmma_m16n16k16_load_a_row_shared_update_ptr	wmma-fp16	sm7x	address-gen only: laneid->element offset math, returns advanced shared ptr (no ld/st)
NUM	3069252162	0xB6F11242	sub_4E1F10	__cuda_sm7x_wmma_m16n16k16_load_a_row_update_ptr	wmma-fp16	sm7x	address-gen only: laneid->element offset math, returns advanced generic ptr (no ld/st)
NUM	1087116562	0x40CC1512	sub_4E2250	__cuda_sm7x_wmma_m16n16k16_load_a_row_global_update_ptr	wmma-fp16	sm7x	address-gen only: laneid->element offset math, returns advanced global ptr (no ld/st)
NUM	2848461329	0xA9C81211	sub_4E2590	__cuda_sm7x_wmma_m32n8k16_load_a_row_update_ptr	wmma-fp16	sm7x	address-gen only: laneid->element offset math, returns advanced generic ptr (no ld/st)
NUM	843846881	0x324C14E1	sub_4E28D0	__cuda_sm7x_wmma_m32n8k16_load_a_row_global_update_ptr	wmma-fp16	sm7x	address-gen only: laneid->element offset math, returns advanced global ptr (no ld/st)
NUM	851055847	0x32BA14E7	sub_5026E0	__cuda_sm7x_wmma_m32n8k16_load_a_row_shared_update_ptr	wmma-fp16	sm7x	address-gen only: laneid->element offset math, returns advanced shared ptr (no ld/st)
NUM	90377643	0x05630DAB	sub_5421E0	__cuda_sm7x_wmma_m16n16k16_load_a_row	wmma-fp16	sm7x	load_a: laneid->elem gather, ld.generic.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	1335693225	0x4F9D0FA9	sub_55A920	__cuda_sm7x_wmma_m16n16k16_load_a_row_desc	wmma-fp16	sm7x	load_a: laneid->elem gather, ld.desc.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	1883181179	0x703F107B	sub_538440	__cuda_sm7x_wmma_m16n16k16_load_a_row_global	wmma-fp16	sm7x	load_a: laneid->elem gather, ld.global.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	3364426361	0xC8891279	sub_555BE0	__cuda_sm7x_wmma_m16n16k16_load_a_row_global_desc	wmma-fp16	sm7x	load_a: laneid->elem gather, ld.global.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	1886064769	0x706B1081	sub_567D80	__cuda_sm7x_wmma_m16n16k16_load_a_row_shared	wmma-fp16	sm7x	load_a: laneid->elem gather, ld.shared.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	1678118992	0x64061050	sub_56E5F0	__cuda_sm7x_wmma_m32n8k16_load_a_row_shared	wmma-fp16	sm7x	load_a: laneid->elem gather, ld.shared.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	1325928250	0x4F080F3A	sub_512940	__cuda_sm8x_wmma_m16n16k16_load_a_row_bf16	wmma-fp16	sm8x	load_a: laneid->elem gather, ld.generic.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	2738688312	0xA33D1138	sub_51C840	__cuda_sm8x_wmma_m16n16k16_load_a_row_desc_bf16	wmma-fp16	sm8x	load_a: laneid->elem gather, ld.desc.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	3355120138	0xC7FB120A	sub_512DB0	__cuda_sm8x_wmma_m16n16k16_load_a_row_global_bf16	wmma-fp16	sm8x	load_a: laneid->elem gather, ld.global.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	709825544	0x2A4F1408	sub_51B9D0	__cuda_sm8x_wmma_m16n16k16_load_a_row_global_desc_bf16	wmma-fp16	sm8x	load_a: laneid->elem gather, ld.global.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	3359969808	0xC8451210	sub_51B040	__cuda_sm8x_wmma_m16n16k16_load_a_row_shared_bf16	wmma-fp16	sm8x	load_a: laneid->elem gather, ld.shared.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
NUM	1675235402	0x63DA104A	sub_539670	__cuda_sm7x_wmma_m32n8k16_load_a_row_global	wmma-fp16	sm7x	load_a: laneid->elem gather, ld.global.b32 series (fp16(b32=2xf16)); store_d/load call *_update_ptr for base
