## ptxas CUDA 13.0.88 — EIATTR (.nv.info attribute) enumeration
## INDEPENDENTLY RE-EXTRACTED FROM BINARY (this run) by walking the .rodata name-pointer table at
##   file 0x1FFDC20 / VMA 0x23FDC20 (97 x 16-byte entries, terminates when the name ptr leaves .rodata):
##   struct { const char *name; u32 fmt_kind; u32 fmt_sub; }   -> EIATTR code == array index.
##   The extraction reproduced all 97 names AND both fmt words byte-for-byte (see body). EIATTR_ERROR string
##   @ file 0x1FFC6C7 / VMA 0x23FC6C7 (rodata file->VMA delta = +0x400000). ERROR_LAST is 96 in the 13.0.88
##   binary; earlier CUDA toolchains exposed a shorter enum (ERROR_LAST near 52, then 59) — the enum has grown
##   over releases to 97 entries. Codes 0..55 retain the historical low-range ordering; binary-emitted .nv.info
##   bytes confirm e.g. 0x2f=47=REGCOUNT, 0x17=23=KPARAM_INFO, 0x36=54=SW_WAR, 0x37=55=CUDA_API_VERSION, 0x0a=10=PARAM_CBANK.
## fmt_kind/fmt_sub are the per-entry classification words (NOT the on-wire EIFMT byte; EIFMT is chosen per emit call:
##   EIFMT_NVAL=1 no payload, EIFMT_BVAL=2 1-byte, EIFMT_HVAL=3 2-byte, EIFMT_SVAL=4 size-prefixed blob).
## status: baseline=present in earlier toolchains (low-range codes); NEW=added since; moved=reindexed.
code	name	fmt_kind	fmt_sub	status	notes
16	EIATTR_REQNTID	0x1	0x0	baseline	req-ntid record {x,y,z}
17	EIATTR_FRAME_SIZE	0x1	0x0	baseline	(g) frame-size record
18	EIATTR_MIN_STACK_SIZE	0x1	0x0	baseline	(g) min-stack-size record
19	EIATTR_SAMPLER_FORCE_UNNORMALIZED	0x1	0x0	baseline	(g)
20	EIATTR_BINDLESS_IMAGE_OFFSETS	0x1	0x0	baseline	deprecated by R_CUDA_TEX_HEADER_INDEX
21	EIATTR_BINDLESS_TEXTURE_BANK	0x1	0x0	baseline	bval
22	EIATTR_BINDLESS_SURFACE_BANK	0x1	0x0	baseline	bval
23	EIATTR_KPARAM_INFO	0x1	0x0	baseline	kparam record (bitfield: ordinal,offset,logAlign,space,cbankid,isSmem,size)
24	EIATTR_SMEM_PARAM_SIZE	0x1	0x0	baseline	hval; deprecated
25	EIATTR_CBANK_PARAM_SIZE	0x1	0x0	baseline	hval
26	EIATTR_QUERY_NUMATTRIB	0x1	0x0	baseline	query-numattrib record
27	EIATTR_MAXREG_COUNT	0x1	0x0	baseline	hval
28	EIATTR_EXIT_INSTR_OFFSETS	0x1	0x0	baseline	array of instr offsets
29	EIATTR_S2RCTAID_INSTR_OFFSETS	0x1	0x0	baseline	array
30	EIATTR_CRS_STACK_SIZE	0x1	0x0	baseline	CRS-stack-size record (sword)
31	EIATTR_NEED_CNP_WRAPPER	0x1	0x0	baseline	nval
32	EIATTR_NEED_CNP_PATCH	0x1	0x0	baseline	nval
33	EIATTR_EXPLICIT_CACHING	0x1	0x0	baseline	nval
34	EIATTR_ISTYPEP_USED	0x1	0x0	baseline	(g) nval
35	EIATTR_MAX_STACK_SIZE	0x1	0x0	baseline	(g)
36	EIATTR_SUQ_USED	0x1	0x0	baseline	nval
37	EIATTR_LD_CACHEMOD_INSTR_OFFSETS	0x1	0x0	baseline	array
38	EIATTR_LOAD_CACHE_REQUEST	0x1	0x0	baseline	(g)
39	EIATTR_ATOM_SYS_INSTR_OFFSETS	0x1	0x0	baseline	array
40	EIATTR_COOP_GROUP_INSTR_OFFSETS	0x1	0x0	baseline	array
41	EIATTR_COOP_GROUP_MASK_REGIDS	0x1	0x0	baseline	array
42	EIATTR_SW1850030_WAR	0x1	0x0	baseline	nval WAR flag
43	EIATTR_WMMA_USED	0x2	0x2	baseline	nval
44	EIATTR_HAS_PRE_V10_OBJECT	0x3	0x2	NEW	nval; suppressed in Mercury ELF
45	EIATTR_ATOMF16_EMUL_INSTR_OFFSETS	0x3	0x2	baseline	array
46	EIATTR_ATOM16_EMUL_INSTR_REG_MAP	0x5	0x1	baseline	array of {instrOffset,regNo}
47	EIATTR_REGCOUNT	0x5	0x2	baseline	(g) regcount record {symidx,regCount}
48	EIATTR_SW2393858_WAR	0x5	0x2	baseline	WAR
49	EIATTR_INT_WARP_WIDE_INSTR_OFFSETS	0x5	0x1	baseline	array
50	EIATTR_SHARED_SCRATCH	0x5	0x1	baseline	shared-scratch-area record {start,size}
51	EIATTR_STATISTICS	0x5	0x1	baseline	16-word stats array (EIVALUE_STATS_*)
52	EIATTR_INDIRECT_BRANCH_TARGETS	0x5	0x2	baseline	indirect-branch-info records
53	EIATTR_SW2861232_WAR	0x5	0x2	baseline	WAR
54	EIATTR_SW_WAR	0x5	0x2	baseline	SW-WAR bitmask
55	EIATTR_CUDA_API_VERSION	0x5	0x2	baseline	u32 word (link-time check)
56	EIATTR_NUM_MBARRIERS	0x5	0x1	NEW	hval-equivalent count
57	EIATTR_MBARRIER_INSTR_OFFSETS	0x5	0x1	NEW	mbarrier-offset records
58	EIATTR_COROUTINE_RESUME_OFFSETS	0x5	0x2	baseline-era	resume-id/offset-pair[]
59	EIATTR_SAM_REGION_STACK_SIZE	0x5	0x2	baseline-era	(g)
60	EIATTR_PER_REG_TARGET_PERF_STATS	0x5	0x2	baseline-era	per-reg-target-perf-stats[]
61	EIATTR_CTA_PER_CLUSTER	0x5	0x2	NEW	cluster dims
62	EIATTR_EXPLICIT_CLUSTER	0x5	0x2	NEW
63	EIATTR_MAX_CLUSTER_RANK	0x5	0x2	NEW
64	EIATTR_INSTR_REG_MAP	0x5	0x2	NEW
65	EIATTR_RESERVED_SMEM_USED	0x5	0x2	NEW
66	EIATTR_RESERVED_SMEM_0_SIZE	0x5	0x2	NEW
67	EIATTR_UCODE_SECTION_DATA	0x5	0x2	NEW
68	EIATTR_UNUSED_LOAD_BYTE_OFFSET	0x5	0x1	NEW
69	EIATTR_KPARAM_INFO_V2	0x5	0x0	NEW	extended kernel-param descriptor
70	EIATTR_SYSCALL_OFFSETS	0x5	0x2	NEW	array
71	EIATTR_SW_WAR_MEMBAR_SYS_INSTR_OFFSETS	0x5	0x2	NEW	array
72	EIATTR_GRAPHICS_GLOBAL_CBANK	0x5	0x2	NEW	graphics path
73	EIATTR_SHADER_TYPE	0x5	0x2	NEW	graphics path
74	EIATTR_VRC_CTA_INIT_COUNT	0x5	0x2	NEW
75	EIATTR_TOOLS_PATCH_FUNC	0x5	0x2	NEW
76	EIATTR_NUM_BARRIERS	0x5	0x2	NEW
77	EIATTR_TEXMODE_INDEPENDENT	0x5	0x2	NEW
78	EIATTR_PERF_STATISTICS	0x5	0x2	NEW
79	EIATTR_AT_ENTRY_FRAGEMENTS	0x5	0x2	NEW	canonical enum spelling is misspelled "FRAGEMENTS"
80	EIATTR_SPARSE_MMA_MASK	0x5	0x2	NEW
81	EIATTR_TCGEN05_1CTA_USED	0x5	0x2	NEW	Blackwell tensor-core gen5, 1-CTA
82	EIATTR_TCGEN05_2CTA_USED	0x5	0x2	NEW	Blackwell tensor-core gen5, 2-CTA
83	EIATTR_GEN_ERRBAR_AT_EXIT	0x5	0x2	NEW
84	EIATTR_REG_RECONFIG	0x5	0x2	NEW
85	EIATTR_ANNOTATIONS	0x5	0x2	NEW
86	EIATTR_UNKNOWN	0x5	0x2	NEW	in-range placeholder slot, not a sentinel
87	EIATTR_STACK_CANARY_TRAP_OFFSETS	0x5	0x2	NEW	stack-protection
88	EIATTR_STUB_FUNCTION_KIND	0x5	0x2	NEW
89	EIATTR_LOCAL_CTA_ASYNC_STORE_OFFSETS	0x5	0x2	NEW
90	EIATTR_MERCURY_FINALIZER_OPTIONS	0x5	0x2	NEW	Mercury finalizer config
91	EIATTR_BLOCKS_ARE_CLUSTERS	0x5	0x2	NEW
92	EIATTR_SANITIZE	0x5	0x2	NEW	compute-sanitizer
93	EIATTR_SYSCALLS_FALLBACK	0x5	0x2	NEW
94	EIATTR_CUDA_REQ	0x5	0x2	NEW
95	EIATTR_MERCURY_ISA_VERSION	0x5	0x2	NEW	Mercury ISA version stamp
96	EIATTR_ERROR_LAST	0x5	0x2	moved	sentinel; lower-numbered in earlier toolchains
## Non-enumerated EIATTR strings present in binary but with NO ordinal in the primary table:
##   EIATTR_AT_ENTRY_FRAGMENTS (corrected spelling) @ VMA 0x2405DA1
##   EIATTR_COROUTINE_RESUME_ID_OFFSETS @ VMA 0x24064D8
## On-wire encoding: each .nv.info element = nvinfo-element header (4B: format,attr,{bval|hval|size}) optionally
##   followed by size-prefixed sval payload; all elements 4-byte aligned (8-byte structs use EIATTR_PAD).
