ptx_sreg	ptx_type	sass_op	sr_name	sr_index	uniform	min_arch	meaning
%pm7	b32	CS2R	SR_PM7	114	N	sm_50	performance-monitor counter 7 (CS2R; counters are 64-bit lo/hi pairs)
%envreg0	b32	CBANK	-	-	N	sm_50	driver environment word 0; const bank c[0x0][0x88]
%envreg1	b32	CBANK	-	-	N	sm_50	driver environment word 1; const bank c[0x0][0x8c]
%envreg2	b32	CBANK	-	-	N	sm_50	driver environment word 2; const bank c[0x0][0x90]
%envreg3	b32	CBANK	-	-	N	sm_50	driver environment word 3; const bank c[0x0][0x94]
%envreg4	b32	CBANK	-	-	N	sm_50	driver environment word 4; const bank c[0x0][0x98]
%envreg5	b32	CBANK	-	-	N	sm_50	driver environment word 5; const bank c[0x0][0x9c]
%envreg6	b32	CBANK	-	-	N	sm_50	driver environment word 6; const bank c[0x0][0xa0]
%envreg7	b32	CBANK	-	-	N	sm_50	driver environment word 7; const bank c[0x0][0xa4]
%envreg8	b32	CBANK	-	-	N	sm_50	driver environment word 8; const bank c[0x0][0xa8]
%envreg9	b32	CBANK	-	-	N	sm_50	driver environment word 9; const bank c[0x0][0xac]
%envreg10	b32	CBANK	-	-	N	sm_50	driver environment word 10; const bank c[0x0][0xb0]
%envreg11	b32	CBANK	-	-	N	sm_50	driver environment word 11; const bank c[0x0][0xb4]
%envreg12	b32	CBANK	-	-	N	sm_50	driver environment word 12; const bank c[0x0][0xb8]
%envreg13	b32	CBANK	-	-	N	sm_50	driver environment word 13; const bank c[0x0][0xbc]
%envreg14	b32	CBANK	-	-	N	sm_50	driver environment word 14; const bank c[0x0][0xc0]
%envreg15	b32	CBANK	-	-	N	sm_50	driver environment word 15; const bank c[0x0][0xc4]
%envreg16	b32	CBANK	-	-	N	sm_50	driver environment word 16; const bank c[0x0][0xc8]
%envreg17	b32	CBANK	-	-	N	sm_50	driver environment word 17; const bank c[0x0][0xcc]
%envreg18	b32	CBANK	-	-	N	sm_50	driver environment word 18; const bank c[0x0][0xd0]
%envreg19	b32	CBANK	-	-	N	sm_50	driver environment word 19; const bank c[0x0][0xd4]
%envreg20	b32	CBANK	-	-	N	sm_50	driver environment word 20; const bank c[0x0][0xd8]
%envreg21	b32	CBANK	-	-	N	sm_50	driver environment word 21; const bank c[0x0][0xdc]
%envreg22	b32	CBANK	-	-	N	sm_50	driver environment word 22; const bank c[0x0][0xe0]
%envreg23	b32	CBANK	-	-	N	sm_50	driver environment word 23; const bank c[0x0][0xe4]
%envreg24	b32	CBANK	-	-	N	sm_50	driver environment word 24; const bank c[0x0][0xe8]
%envreg25	b32	CBANK	-	-	N	sm_50	driver environment word 25; const bank c[0x0][0xec]
%envreg26	b32	CBANK	-	-	N	sm_50	driver environment word 26; const bank c[0x0][0xf0]
%envreg27	b32	CBANK	-	-	N	sm_50	driver environment word 27; const bank c[0x0][0xf4]
%envreg28	b32	CBANK	-	-	N	sm_50	driver environment word 28; const bank c[0x0][0xf8]
%envreg29	b32	CBANK	-	-	N	sm_50	driver environment word 29; const bank c[0x0][0xfc]
%envreg30	b32	CBANK	-	-	N	sm_50	driver environment word 30; const bank c[0x0][0x100]
%envreg31	b32	CBANK	-	-	N	sm_50	driver environment word 31; const bank c[0x0][0x104]
